JUST TESTING DOC

2019-02-27 13:18:04.334619 : NEW Participant creative
2019-02-27 13:18:06.600034 : q1
2019-02-27 13:18:10.228989 : q2
2019-02-27 13:18:13.018670 : q3
2019-02-27 13:18:18.722406 : c1
2019-02-27 13:18:21.647190 : c2
2019-02-27 13:18:26.455926 : c3
2019-02-27 13:18:31.811412 : c4
2019-02-27 13:18:35.472487 : c5
2019-02-27 13:18:38.247271 : c6
2019-02-27 13:18:41.152102 : f1
2019-02-27 13:18:44.720288 : f2
2019-02-27 13:18:47.463620 : f3
2019-02-27 13:18:51.650877 : correct
2019-02-27 13:21:07.570056 : happy
2019-02-27 13:21:09.664723 : sad
2019-02-27 13:21:11.201131 : excited
2019-02-27 13:21:12.863762 : curious
2019-02-27 13:21:14.340335 : affection
2019-02-27 13:21:15.892293 : confused
2019-02-27 13:21:17.303305 : yep
2019-02-27 13:21:19.178449 : yep
2019-02-27 13:21:21.308775 : worried
2019-02-27 13:21:22.963307 : lookup
2019-02-27 13:21:24.910323 : lookdown
2019-02-27 13:21:26.582480 : emoji
2019-02-27 13:22:41.741350 : confused
2019-02-27 13:22:42.200532 : yep
2019-02-27 13:22:47.024481 : worried
{'currentspeech': [['hey hey hey']]}2019-02-27 13:28:19.618496 : hey there2019-02-27 13:38:33.944348 : lookfront
2019-02-27 13:38:40.304535 : lookup
2019-02-27 13:38:44.183828 : [textentry] : hey hey

2019-03-06 13:50:41.548863 : NEW Participant creative

2019-03-06 13:52:10.616305 : NEW Participant noncreative
2019-03-06 15:49:19.641416 : [notes] : hey hey 
2019-03-07 23:12:49.247611 : close
2019-03-07 23:13:08.709522 : lookup
2019-03-07 23:14:04.838414 : close
2019-03-07 23:14:08.684902 : lookup
2019-03-08 05:00:31.322311 : session started
2019-03-08 05:02:50.751468 : session started
2019-03-08 05:02:56.759030 :  time elapsed
2019-03-08 05:04:02.797789 : session started
